course_code,course_name,faculty,department,Academic_Level,programme,year,semester,is_jan_april_2026_offering
WIEM 252,WIEM 252/242: MUSEOLOGY AND PHOTOGRAPHY,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 2,2,0
NARE 325,RANGE PLANT ECOPHYSIOLOGY,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,1,0
NARE 331,PHYSICAL AND APPLIED CLIMATOLOGY STREAMS: BSC,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,1,1
NARE 341,FIRE CONTROL AND USE,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,1,0
NARE 351,WATERSHED MANAGEMENT,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,1,0
NARE 371,RESEARCH METHODLOLOGY,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,1,0
WIEM 311,WILDLIFE POPULATION DYNAMICS STREAMS: WIEM Y3S1,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,1,0
WIEM 343,ORNITHOLOGY STREAMS: WIEM Y4S2,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,1,1
WIEM 347,WILDLIFE STATISTICS,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,1,0
WIEM 361,TOUR GUIDING MANAGEMENT,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,1,0
WIEM 371,WILDLIFE POLICY AND LEGISTRATION,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,1,0
WIEM 381,FUNDAMENTALS OF RESEARCH METHODS STREAMS: Y3,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,1,0
NARE 322,RENEWABLE AND NON RENEWABLE ENERGY,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,2,0
NARE 324,AQUATIC ECOLOGY,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,2,0
NARE 326,MINERALOGY AND MINERAL EXPLOITATION,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,2,0
NARE 342,NATURAL RESOURCE USE CONFLICT AND MANAGEMENT,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,2,0
NARE 352,REMOTE SENSING STREAMS: MSC (NARE) Y3S2,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,2,0
WIEM 312,COMPARATIVE VERTEBRATE PHYSIOLOGY,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,2,0
WIEM 346,WILDLIFE ENTREPRENEURSHIP,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,2,0
WIEM 362,CONSERVATION AREAS MANAGEMENT,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 3,2,0
NARE 453,AGROFORESTRY,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,1,1
NARE 421,RANGE PLANT ECOPHYSIOLOGY,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,1,0
NARE 427,ECOTOURISM,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,1,0
NARE 445,MANAGEMENT OF AQUATIC ECOSYSTEMS,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,1,0
NARE 451,AGROFORESTRY,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,1,0
NARE 457,DRYLANDS REHABILITATION STREAMS: BSC (NARE) Y4S2,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,1,0
NARE 461,"RESOURCE PLANNING, MONITORING AND EVALUATION",Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,1,0
NARE 481,NATURAL RESOURCE POLICY AND LAW STREAMS: ENSC Y2S2,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,1,0
WIEM 411,PUBLIC RELATIONS IN WILDLIFE MANAGEMENT,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,1,0
WIEM 415,ENGINEERING FOR WILDLIFE,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,1,0
WIEM 421,WILDLIFE HABITAT MANAGEMENT,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,1,0
WIEM 423,ENVIRONMENTAL PHYSIOLOGY STREAMS: BSC WIEM Y4S2,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,1,0
NARE 440,SILVICULTURE,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,2,0
NARE 444,FOREST MANAGEMENT STREAMS: BSC (NARE) Y4S2,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,2,1
NARE 446,MANAGEMENT OF AQUATIC ECOSYSTEMS,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,2,0
NARE 450,AGROFORESTRY,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,2,0
NARE 456,ECOLOGICAL SURVEYS AND TECHNIQUES,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,2,0
WIEM 414,ECONOMICS AND UTILIZATION OF WILDLIFE RESOURCES,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,2,0
WIEM 422,WILDLIFE DISEASES AND PATHOLOGY STREAMS: BSC WIEM Y4S2,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,2,0
WIEM 424,ADVANCED ECOLOGY STREAMS: WIEM (Y4S2),Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,2,0
WIEM 426,BEHAVIOURAL ECOLOGY,Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,2,0
WIEM 452,PROTECTED AREA PLANNING AND MANAGEMENT STREAMS: WIEM (Y4S2),Faculty of Environmental Studies and Resources Development,Department of Environmental Studies & Resources Development,Bachelor,Bachelor of Science (Environmental Science),Year 4,2,1
FOST 101,INTRODUCTION TO THE FOOD INDUSTRY,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 1,1,1
FOST 131,FUNDAMENTALS OF FOOD PROCESS ENGINEERING I,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 1,1,0
FOST 211,FOOD MICROBIOLOGY 1,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 2,1,0
FOST 221,PRINCIPLES OF HUMAN NUTRITION,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 2,1,0
FOST 233,FOOD PROCESSING INSTRUMENTATION AND CONTROL STREAMS:FOST,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 2,1,0
FOST 241,FOOD PROCESSING AND PRESERVATION,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 2,1,1
FOST 212,FOOD MICROBIOLOGY II,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 2,2,1
FOST 222,FOOD CHEMISTRY I,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 2,2,1
FOST 232,FUNDAMENTALS OF FOOD PROCESSING ENGINEERING II STREAMS,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 2,2,0
FOST 234,FOOD PLANT UTILITIES AND SERVICES,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 2,2,0
FOST 242,NUTRACEUTICALS AND FUNCTIONAL FOODS,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 2,2,1
FOST 323,FOOD CHEMISTRY II,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 3,1,0
FOST 335,UNIT OPERATIONS IN FOOD PROCESSING,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 3,1,0
FOST 341,CEREALS AND ROOT CROPS TECHNOLOGY,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 3,1,0
FOST 343,NON-ALCOHOLIC BEVERAGES TECHNOLOGY,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 3,1,0
FOST 345,EDIBLE FATS AND OILS,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 3,1,1
FOST 347,ALCOHOLIC BEVERAGES TECHNOLOGY,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 3,1,1
FOST 324,FOOD ANALYSIS,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 3,2,1
FOST 336,FOOD PLANT DESIGN AND LAYOUT,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 3,2,1
FOST 342,FRUIT AND VEGETABLES TECHNOLOGY,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 3,2,0
FOST 344,SUGAR AND CONFECTIONERY TECHNOLOGY,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 3,2,1
FOST 346,"Meat, Poultry and Sea Foods Technology RESIT",Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 3,2,1
FOST 411,FOOD TOXICOLOGY,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 4,1,0
FOST 413,FOOD TOXICOLOGY,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 4,1,0
FOST 425,APPLICATION OF ENZYME TECHNOLOGY IN FOODS,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 4,1,0
FOST 437,FOOD SCIENCE PROCESSING PRACTICALS,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 4,1,1
FOST 461,"PACKAGING, STORAGE AND DISTRIBUTION OF FOODS",Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 4,1,0
FOST 463,FOOD QUALITY ASSURANCE STREAMS:FOST,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 4,1,0
FOST 465,SANITATION AND WASTE MANAGEMENT,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 4,1,1
FOST 410,ICHTHYOLOGY,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 4,2,0
FOST 414,FOOD BIOTECHNOLOGY,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 4,2,1
FOST 462,FOOD PLANT OPERATIONS MANAGEMENT,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 4,2,0
FOST 464,PRODUCT DEVELOPMENT AND SENSORY EVALUATION OF FOODS,Faculty of Agriculture,Department of Food Science & Technology,Bachelor,B.Sc. in Food Science and Technology,Year 4,2,1
HORT 0111,HORT0111:PRINCIPLESANDPRACTICESOFHORTICULTURE,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Certificate/Diploma Level,1,0
HORT 0261,HORT0261:FLORICULTURE1(MAJORCUTFLOWERS),Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Certificate/Diploma Level,1,0
HORT 0212,HORT0212:PLANTIDENTIFICATION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Certificate/Diploma Level,2,0
HORT 0222,HORT0222:PLANTPROPAGATION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Certificate/Diploma Level,2,0
HORT 0232,HORT0232:VEGETABLEPRODUCTION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Certificate/Diploma Level,2,0
HORT 0242,FRUIT PRODUCTION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Certificate/Diploma Level,2,0
HORT 807,"HORT807:PLANTCELL,ORGANANDTISSUECULTURE",Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Postgraduate Level,1,0
HORT 829,HORT829/SOIL836:SOILFERTILITYANDPLANTNUTRITION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Postgraduate Level,1,0
HORT 831,HORT831:ADVANCESINVEGETABLESCROPS,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Postgraduate Level,1,0
HORT 855,HORT855:POSTHARVESTPHYSIOLOGYOFHORTICULTURALCROPS,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Postgraduate Level,1,0
HORT 818,GENETICS AND BREEDING OF HORTICULTURAL CROPS,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Postgraduate Level,2,0
HORT 850,HORT850:ADVANCESINPLANTPHYSIOLOGY,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Postgraduate Level,2,0
HORT 878,HORT878:BIOTECHNOLOGYINPESTMANAGEMENT,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Postgraduate Level,2,0
HORT 111,PRINCIPLES AND PRACTICES OF HORTICULTURE,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 1,1,1
HORT 225,HORT225/325:BIOTECHNOLOGY,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 2,1,0
HORT 231,EXOTIC VEGETABLES,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 2,1,1
HORT 235,ORGANIC HORTICULTURAL CROPS PRODUCTION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 2,1,0
HORT 261,HORT 261/361: FLORICULTURE 1(MAJOR CUT FLOWERS),Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 2,1,0
HORT 212,PLANT IDENTIFICATION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 2,2,0
HORT 222,HORT 222– PLANT PROPAGATION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 2,2,0
HORT 234,ORGANIC HORTICULTURAL CROPS PRODUCTION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 2,2,0
HORT 313,HORTICULTURAL CROP PROTECTION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 3,1,0
HORT 323,INTRODUCTION TO GREENHOUSE MANAGEMENT,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 3,1,1
HORT 325,PLANT BIOTECHNOLOGY,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 3,1,1
HORT 331,HORT331:HORTICULTURALCROPPROTECTION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 3,1,0
HORT 333,GENERAL VEGETABLE PRODUCTION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 3,1,1
HORT 341,TROPICAL AND SUB TROPICAL FRUITS,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 3,1,1
HORT 361,FLORICULTURE 1 (MAJOR CUT FLOWERS),Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 3,1,1
HORT 371,AGRICULTURAL EXPERIMENTATION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 3,1,1
HORT 332,VEGETABLE CROPS II (INDIGENOUS),Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 3,2,0
HORT 342,FRUIT PRODUCTION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 3,2,0
HORT 421,HORTICULTURAL SEED PRODUCTION,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 4,1,0
HORT 441,HORT 441/442: TEMPERATE ZONE FRUITS,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 4,1,0
HORT 443,"HORT443:BEVERAGES,MEDICINALANDNUTCROPS",Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 4,1,1
HORT 451,POST HARVEST PHYSIOLOGY AND TECHNOLOGY,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 4,1,1
HORT 463,"LANDSCAPE DESIGN, CONSTRUCTION AND MAINTENANCE",Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 4,1,1
HORT 424,PLANT NURSERY MANAGEMENT,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 4,2,0
HORT 434,HERBS AND SPICES,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 4,2,1
HORT 442,TEMPERATE ZONE FRUITS,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 4,2,0
HORT 462,ORNAMENTAL HORTICULTURE,Faculty of Agriculture,Department of Plant Sciences,Bachelor,B.Sc. in Horticulture,Year 4,2,0
ENGL 103,ORIGINS AND DEVELOPMENT OF THE ENGLISH LANGUAGE,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,1,1
FREN 111,FRENCH STRUCTURE STRUCTURE II,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,1,1
HIST 111,THE MAKING OF KENYA,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,1,1
HIST 121,SELECTED TOPICS IN GLOBAL HISTORY 2,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,1,1
HIST 131,THEMES IN HISTORY OF EAST AFRICA SINCE 1884,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,1,1
KISW 103,INTRODUCTION TO LITERATURE IN KISWAHILI AND CRITICISM,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,1,1
LITT 103,LITERARY LANGUAGE AND SCHOLARLY PRESENTATION,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,1,1
PHIL 101,INTRODUCTION TO LOGIC,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,1,1
PHIL 105,GOVERNMENT AND SOCIETY,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,1,1
PHIL 109,ETHICS AND INTERGRITY STUDIES,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,1,1
RELI 103,FOUNDATIONS OF RELIGION STREAMS:BA & BED,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,1,1
RELI 161,RELIGIOUS AND ETHICS IN SOCIETY EDUCATION STUDIES,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,1,1
ENGL 104,INTRODUC TION TO THE STRUCTURE OF ENGLISH,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,2,1
FREN 120,"ORAL EXPRESSION, INTERACTION & COMPREHENSION",Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,2,1
HIST 122,HISTORY OF EAST AFRICA SINCE 1884,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,2,1
HIST 152,SELECTED TOPICS IN GLOBAL HISTORY II,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,2,1
KISW 104,MAWASILIANO NA MBINU ZA MATUMIZI YA LUGHA KATIKA KISWAHILI,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,2,1
LITT 104,"CREATIVE WRITING (DRAMA, POETRY & FICTION)",Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,2,1
PHIL 100,INTRODUCTION TO PHILOSOPHY,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,2,1
PHIL 104,UNIVERSITY EXAMINATIONS EXAMINATION FOR THE AWARD OF DEGREE OF BACHELOR OF PHIL 104: PHILOSOPHY AND SOC,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,2,1
PHIL 106,LAW AND SOCIETY REGULAR STREAMS: B. A,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,2,1
PHIL 112,MEDIAEVAL PHILOSOPHY STREAMS: B.A RELIGIOUS STUDIES,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,2,1
PHIL 140,AFRICAN TRADITIONAL RELIGIONS AND PHILOSOPHY,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,2,1
RELI 104,SOCIOLOGY OF RELIGION,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 1,2,1
ENGL 221,THE PHONOLOGY OF ENGLISH,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,1,1
HIST 241,SOURCES OF AFRICAN HISTORY,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,1,1
KISW 203,ISIMUJAMII (SOCIAL LINGUISTICS),Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,1,1
LITT 211,LITT 211/103: LITERARY LANGUAGE AND SCHOLARLY PRESENTATION,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,1,1
LITT 221,AFRICAN LITERATURE I (PROSE FICTION FROM EAST AFRICA),Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,1,1
PHIL 213,PRESOCRATIC PHILOSOPHY,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,1,1
PHIL 231,MORAL/FUNDAMENTAL ETHICS,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,1,1
PHIL 253,CRITICAL THINKING,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,1,1
RELI 205,PHILOSOPHY OF RELIGION STREAMS:BA PHIL,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,1,1
RELI 221,COMPARATIVE RELIGION LIIBIII & LIIBII,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,1,1
RELI 231,THEOLOGY OF THE OLD TESTAMENT,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,1,1
ENGL 203,PHONOLOGY OF ENGLISH,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,1,0
ENGL 212,ENGL 212/222: ASPECTS OF GRAMMATICAL ANALYSIS I,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,2,1
HIST 204,HISTORY OF SCIENCE AND TECHNOLOGY II,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,2,1
HIST 254,THEMES IN THE HISTORY OF PARLIAMENT I,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,2,1
KISW 204,FASIHI SIMULIZI KATIKA KISWAHILI,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,2,1
LITT 222,LITT 222/213: POETRY AND DRAMA FROM EAST AFRICA,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,2,1
PHIL 232,INTRODUCTION TO HERMENEUTICS,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,2,1
RELI 212,AFRICAN TRADITIONAL RELIGION,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,2,1
RELI 232,NEW TESTAMENT,Faculty of Humanities and Social Sciences,Department of Social Sciences,Bachelor,Bachelor of Arts (General),Year 2,2,1
