course_code,course_name
AGRI 211,CROP ENVIRONMENT AND PHYSIOLOGY
AGRI 221,PRINCIPLES OF GENETICS AND CYTOGENETICS
AGRI 223,AGRI 223/BOTA 212: POPULATION GENETICS
AGRI 233,CROP ENTOMOLOGY
AGRI 234,WEED SCIENCE
AGRI 271,PASTURE AND FODDER CROP PRODUCTION
AGRI 291,STATISTICS FOR AGRICULTURE
AGRI 322,PLANT BREEDING
AGRI 328,BIOTECHNOLOGY IN AGRICULTURE
AGRI 351,ANNUAL CROPS
AGRI 361,PERENIAL CROPS
AGRI 383,PRINCIPLES OF ORGANIC FARMING
AGRI 391,Agricultural Experimentation RESIT
AGRI 392,AGRICULTURE EXPERIMENTATION
AGRI 401,DRY-LAND AGRICULTURE
AGRI 411,POST HARVEST TECHNOLOGY OF FIELD CROPS
AGRI 421,AGRI 421/BOTA 411: INTRODUCTION TO MOLECULAR GENETICS
AGRI 441,SEED SCIENCE AND TE  CHNOLOGY
AGRI 482,CROPPING SYSTEMS
AGRI 811,CROP PHYSIOLOGY STREAMS: MSC (SB/PART TIME)
AGRI 812,DRYLAND FARMING STREAMS: MSC AGRONOMY
AGRI 813,CROPPING SYSTEMS STREAMS: MSC (AGRO)
AGRI 815,POST HARVEST PHYSIOLOGY OF FIELD CROPS STREAMS: MSC AGRONOMY BLOCK TWO/THREE
AGRI 820,ADVANCES IN PLANT BREEDING
AGRI 821,BREEDING METHODS
AGRI 823,PLANT CYTOGENETICS
AGRI 824,BREEDING FOR PEST AND DISEASE RESISTANCE     AGRI 843: BREEDING FOR DROUGHT TOLERANCE
AGRI 825,POPULATION AND QUANTITATIVE GENETICS
AGRI 826,PLANT MOLECULAR GENETICS
AGRI 828,BIOTECHNOLOGY
AGRI 832,CROP DISEASES AND DISEASE CONTROL
AGRI 835,INTEGRATED PEST MANAGEMENT
AGRI 836,CROP PESTS & PEST CONTROL
AGRI 837,WEED SCIENCE
AGRI 850,ANNUAL CROP MANAGEMENT STREAMS: MSC AGRI (Y1S2) PART TIME
AGRI 860,SEED SCIENCE & TECHNOLOGY
AGRI 861,PERENNIAL CROPS STREAMS: Y2S1
